text,sentiment
id have responded if i were going,neutral
soo sad,negative
bullying me,negative
leave me alone,negative
sons of,negative
httpwwdothebouncycomsmf some shameless plugging for the best rangers forum on earth,neutral
fun,positive
soo high,neutral
both of you,neutral
wow u just became cooler,positive
as much as i love to be hopeful i reckon the chances are minimal p im never gonna get my cake and stuff,neutral
like,positive
dangerously,negative
lost,negative
test test from the lg,neutral
uh oh i am sunburned,negative
sigh,negative
sick,negative
onna,negative
hes just not that into you,neutral
oh marly im so sorry i hope you find her soon,neutral
interesting,positive
is cleaning the house for her family who is comming later today,neutral
gotta restart my computer i thought was supposed to put an end to the constant rebootiness,neutral
see wat i mean bout friidays its called lose friday smh,neutral
the free fillin app on my ipod is fun im addicted,positive
im sorry,negative
no internet,negative
fun,positive
power back up not working too,negative
quiteheavenly,positive
hope,positive
well so much for being unhappy for about minute,negative
funny,positive
ahh i slept through the game im gonna try my best to watch tomorrow though i hope we play army,neutral
thats it its the end tears for fears,neutral
miss,negative
just in case you wonder we are really busy today and this coming with with adding tons of new blogs and updates stay tuned,neutral
soo sleepy,negative
a little happy fo,positive
car not happy big big dent in boot hoping theyre not going to write it off crossing fingers and waiting,neutral
avid fan of,positive
mayday,neutral
ratt rocked nashville toniteone thing sucked no encore like in the they still have a fun show pearcy has that hott bad boy look,neutral
i love to,positive
the girl in the hair salon asked me shall i trim your eyebrows how old do i feel,neutral
suckk,negative
visiting my friendster and facebook,neutral
dont like go,negative
d im not thrilled at all with mine,negative
then you should check out httptwittersuckscom and connect with other tweeple who hate twitter,neutral
also bored at school its my third freelesson freistunde,neutral
hm both of us i guess,neutral
it is u have dissappointed me that past few days,negative
romance zero is funny,positive
id rather do the early runbut i am a morning runner,neutral
hurts,negative
will be back later,neutral
torn ace of hearts,negative
what fun are you speaking of,neutral
i lost all my friends im alone and sleepy,negative
haha yes,neutral
i give in to easily,negative
favorite,positive
jealous,negative
is at a photoshoot,neutral
s awesome,positive
yay playing a show tonight boo its gonna soggy and im at work right before playing,neutral
chilliin,positive
if you know such agent do let me know,neutral
i still smell of smoke kitchenfire,neutral
better,positive
anyone have an extra keane ticket i promise to buy you a drink and take rad pics for your fb blog flickr etc,neutral
you can ride one you can catch one but its not summer til you pop open one,neutral
she is good so gorjuz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral
ok im out of here for now just popped in to say hi and check on things ill probably head to the guttah later on tonight,neutral
badd,negative
my sources say no,neutral
i am soo tired,negative
hey you change your twitter account and you didnt even tell me,neutral
thank yyoouu,positive
lucky,positive
fell asleep waiting for my ride,neutral
sick,negative
sorry guys,negative
happy star wars day everyone and enjoy the holiday uk,positive
miles from you im in essex so give me plenty of warning so i can arrive in time to get at least one of those free beers,neutral
his snoring is so annoying n it keeps me from sleeping like right now lol but i honestly wud miss it if it eva left i love him,neutral
i miss you bby,negative
cool,positive
love it there,positive
mounce yes and it lasts way past my bedtime,neutral
hi how are you doing just joined twitter,neutral
tired,negative
eating ice cream and then getting ready for graduation,neutral
happy mothers day to all you mums out there,positive
freaked,negative
unfortunately,negative
gonna read a story bout adam lambert online then bed nighty night,neutral
best,positive
pretty,positive
certainly not cheers than huh,neutral
horrible,negative
busy,negative
awesome,positive
at least i get to watch over time lets go pens,neutral
cool i wear black most of the time when i go out,neutral
thanks,positive
safe,positive
i wish i was allowed to go,positive
if u have a friendster add me my email adress add me add me,neutral
has tickets,neutral
thank you,positive
acsm its unfathomable i think the other one and the is one that should be kept to the comfort of our bedrooms yes,neutral
i love my,positive
i dont feel confident,negative
sad,negative
hahaa your awesomee,positive
awesomee,positive
i hate fallout it keeps making me jump im also low on health money ammo and food dont worry ill get through it,neutral
i had it on my itunes but then i lost all my songs,neutral
whats with the gloomy weather the sun must be too tired to come out and play heading to victoria gardens for some impulse buys haha,neutral
not looking forward,negative
poor you,negative
not well,negative
not a prob,positive
at dads watching some mtv and am going on in a minutee,neutral
absolutely,neutral
whats the matter chickadee,neutral
y adore,positive
good,positive
i love him too,positive
painful,negative
sad,negative
e nice,positive
i wish,positive
namaskar namaste r both the same marathi people say namaskar its a marathi word should i naah,neutral
congrats i cuss like that in a matter of minutes but didnt know until now there is a reward for it,neutral
humous and doritos oh yes,neutral
missed all the awesome weather,negative
today is going to be a normal day for i hope we had a group of pilots from a large airline come in last night so it was too much drink,neutral
terrible,negative
unfortunatley,negative
that sucks tho,negative
hate fighting,negative
i watched that too i didnt want her to win but she put up a good fightlol,neutral
carwarmed sprite tastes like sore throat,negative
just came in cross country and beat dumbo,neutral
enjoyable,positive
endearing,positive
tomorrow valerias lunch going to get my hair done but im arraving late got my cousins babtizm or whatever you spell it,neutral
goodd morning tweets,positive
hate,negative
fine,positive
i dont like the other ones,negative
mm it in the morning,neutral
me neither,neutral
has about hours work to do on a sunday boo i will find time for a two hour lunchbreak though yeah,neutral
bugger forgot i still have washing in my machine,negative
sending love blessings healing thoughts to you family peace,positive
really bad,negative
ah yes i know that feeling,neutral
night of the cookers with my dad,neutral
brutal,negative
nope i am in coquitlam,neutral
boring,negative
p sounds like fun,positive
big booming thunder storm almost here maybe we can all go home early ah probably not,neutral
great,positive
excited,positive
good morning,positive
its the best show ever,positive
messed,negative
i think iv hurt my tooth and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha l,neutral
i want to know when the auditions are mander text orreply please,neutral
not the secret namerebecca please,negative
miss,negative
i need to get my computer fixed,neutral
illness,negative
all the cool people i want to find for following today are english and i guess the english dont tweet,neutral
no siri woulda put honeybut i dont have any,neutral
i totally loved it,positive
i you u helped me thru the hrdest time of my life,positive
sad,negative
finally got a call for marriage counseling days late,neutral
ok then,neutral
why baby,neutral
sick,negative
were having an impromptu pool party except i dont know how to swim so i cant get in,neutral
oww,negative
happy year,positive
good morrning,positive
phew will make a note in case anyone else runs into the same issueã¯â¿â½,neutral
what about me i vote every day for you,negative
this diet is killing me,negative
i talk to you,neutral
bored,negative
e fun,positive
so far so good but i did sleep for most of those hours getting a bit twitchy now,neutral
whats with twatter lately either i cant get on or the replies dont turn up,neutral
lost my voice,negative
hate,negative
ive heard this fall im waiting too,neutral
more nightmares huggles,neutral
i am such a creeper i feel disappointed because of it my cyberstalking skills the internet no more privacy,negative
headache,negative
happy,positive
grabbing coffee from then making mom breakfast,neutral
going to have fun,positive
thanks before the major chop,neutral
d thank you,positive
just got up and updated my ipod,neutral
hahaha,positive
crush,positive
saw james carville in the store today his head is really that bald,neutral
yellow for,neutral
which means youre just going to have to come back to vancouver and have it our way hahah,neutral
feeling smooth,positive
ew traffic,negative
downloading songs while trying to sneak a lil homework in too which should be my main priority not songs lol,neutral
your not alonei need coffee too,neutral
sounds like me,neutral
bad day the day you realize what mess youve put me through will be one of the happiest days of my life,neutral
i hate not having a bike,negative
nesmith,neutral
this is worse than taxes,negative
jonas brothers live to party its rocking so hard,positive
happy,positive
would love to test it though,positive
fun night,positive
the exception for a short dude larenz fineass tate yum,neutral
i thought wolverine was awesome,positive
hopefully,positive
yes i work to,neutral
hmm maybe thats what they meant they eluded to something brand new but you know how the media is,neutral
done at the spa now meeting vic for some late lunch,neutral
happy,positive
always have wanted to go to oz,neutral
thx,neutral
luv,positive
thats why i need to be there,positive
okay so im dedicating my tweet to the fact that im going to the apple store because there is a huge crack on the glass screen,neutral
if only we could ever actually be allowed to stay here and do that,neutral
let me know how that turns out,neutral
was that sass i detect as long as it isnt back sass haha,neutral
ahaha,positive
sports bar shatranjanpoli rest ph all sports bar andheri w dont know whether that helps google ki jai ho,neutral
im not sleeping at all un,negative
seriously,negative
i live for pain bring it on,neutral
okay im out for a while back later,neutral
g what is this powerblog challenge you keep talking about im a newbie followe,neutral
died,positive
waiting for tish to get off got to drive my moms crv to pick her up all my myself and duckie first time,neutral
not going to well,negative
going to shower because i dont want to smell at school tomorrow,neutral
sigh you know i am,neutral
hopefully,positive
here are free twitter tools will get you followers httpjijrcomhulz,neutral
just got home from work and is chugging down a big bottle of apple juice,neutral
g harmed,negative
what an amazing day,positive
it was only once for my big brotherand im done now,neutral
good news finally finished my easactive workout that has been paused for hours bad news my resistance band is torn,neutral
well good morning all what a wonderful day in the neighborhood thanks for all those that are now following another this morning,positive
were amazing tonight,positive
hope,positive
it hurts too much,positive
